business_id,business_id_raw,name,province,city,street_address,postal_code,post_office,coordinates,postal_address,postal_address_code,postal_address_post_offoce,postal_address_country,postal_address_country_code,company_form,established_date,main_line_of_business_code,main_line_of_business,main_line_of_business_category
26841051,2684105-1,Combo Breaker Oy,,,,,,,Karhutie 22,02400,KIRKKONUMMI,Suomi,FIN,Osakeyhtiö,2015-03-30,62010,Software Design and Development,"IT Consulting, IT Services"
30192269,3019226-9,Metroc Oy,Uudenmaan maakunta,Helsinki,Antinkatu 3 D,00100,HELSINKI,"(60.170101, 24.93237)",Antinkatu 3 D,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-08-20,62010,Software Design and Development,"IT Consulting, IT Services"
27621042,2762104-2,ZenTreasury Oy,Uudenmaan maakunta,Espoo,Otakaari 5,02150,ESPOO,"(60.186622, 24.82692)",Saukonpaadenranta 8 A 13,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-05-13,62010,Software Design and Development,"IT Consulting, IT Services"
26919568,2691956-8,Horseteq Oy,,,,,,,Tanhuantie 7 B,53920,LAPPEENRANTA,Suomi,FIN,Osakeyhtiö,2015-05-21,62010,Software Design and Development,"IT Consulting, IT Services"
27036425,2703642-5,PromoRepublic Oy,Uudenmaan maakunta,Helsinki,Tammasaarenkatu 1,00180,HELSINKI,"(60.16137, 24.90357)",Mikonkatu 9,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-08-07,63990,Other Information Service Activities n.e.c.,
27115211,2711521-1,Made of Sundays Oy,Uudenmaan maakunta,Helsinki,Viertolantie 2-4 B 16,00730,HELSINKI,"(60.261619, 25.02543)",Viertolantie 2-4 B 16,00730,HELSINKI,Suomi,FIN,Osakeyhtiö,2015-09-16,74109,Industrial Design and Related Services,Design and Planning
29386576,2938657-6,Sanraful Oy,Uudenmaan maakunta,Helsinki,Porvoonkatu 14 B 83,00510,HELSINKI,"(60.190718, 24.94518)",Porvoonkatu 14 B 83,00510,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-09-11,62010,Software Design and Development,"IT Consulting, IT Services"
34685335,3468533-5,Truman Data Oy,,,,,,,Kilavägen 30 A 7,10300,KARJAA,Suomi,FIN,Osakeyhtiö,2024-08-14,70220,Other Management Consulting,Management Consulting
29105543,2910554-3,Hemby Kotipalvelu,Uudenmaan maakunta,Helsinki,Itämerenkatu 3 B,00180,HELSINKI,"(60.163948, 24.91952)",Itämerenkatu 3 B,00180,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-04-17,88101,Home Services for Elderly and Disabled,Care Services
27460648,2746064-8,ProtectPipe Oy,Uudenmaan maakunta,Helsinki,Kalevankatu 20,00100,HELSINKI,"(60.16641, 24.93527)",Kalevankatu 20,00100,HELSINKI,Suomi,FIN,Osakeyhtiö,2016-02-15,43220,"Plumbing, Heating, and Air-Conditioning Installation",HVAC Work
34696595,3469659-5,Compliance Link Oy,,,,,,,Puumiehenkuja 5,02150,ESPOO,Suomi,FIN,Osakeyhtiö,2024-08-20,62010,Software Design and Development,"IT Consulting, IT Services"
33928593,3392859-3,Orijin Oy,Uudenmaan maakunta,Helsinki,Metsolantie 13 A 2,00610,HELSINKI,"(60.21391, 24.95121)",Metsolantie 13 A 2,00610,HELSINKI,Suomi,FIN,Osakeyhtiö,2023-09-27,62010,Software Design and Development,"IT Consulting, IT Services"
27905635,2790563-5,Package Testing & Research Oy,Uudenmaan maakunta,Helsinki,Salomonkatu 17 A 5. kerros,00100,HELSINKI,"(60.168698, 24.92968)",Puimalantie 5,01900,NURMIJÄRVI,Suomi,FIN,Osakeyhtiö,2016-10-26,70220,Other Management Consulting,Management Consulting
29484264,2948426-4,Lobster.ist Oy,Uudenmaan maakunta,Helsinki,Haahkatie 5 B 32,00200,HELSINKI,"(60.156379, 24.88031)",Haahkatie 5 B 32,00200,HELSINKI,Suomi,FIN,Osakeyhtiö,2018-10-25,62010,Software Design and Development,"IT Consulting, IT Services"
30010496,3001049-6,SprintIT Finland Oy,Uudenmaan maakunta,Helsinki,Atomitie 5 B,00370,HELSINKI,"(60.222751, 24.8707)",Atomitie 5 B,00370,HELSINKI,Suomi,FIN,Osakeyhtiö,2019-05-16,62020,Computer Hardware and Software Consulting,"IT Consulting, IT Services"
