business_id,year,turnover,turnover_change_pct,operating_profit,operating_margin_pct,solvency_ratio,balance_sheet_total,num_employees,ebitda_margin_pct,roi_pct,equity_total,net_income,quick_ratio,current_ratio
26841051,2023,156000.0,-78.00,-206000.0,-117.30,0.69,419000,5,-95.50,-27.80,375000,-183000.0,25.20,25.20
26841051,2022,710000.0,-28.10,-11000.0,-2.80,0.65,762000,10,2.00,11.70,592000,-20000.0,6.10,6.20
26841051,2021,987000.0,75.10,473000.0,48.60,0.62,1020000,7,52.10,108.80,643000,480000.0,9.90,3.20
26841051,2020,564000.0,16.00,78000.0,34.00,0.11,1074309,,40.00,77.60,169967,192000.0,23.40,1.20
26841051,2019,486000.0,452.30,59000.0,18.30,-0.15,1574000,4,25.30,44.30,91000,89000.0,16.20,1.00
30192269,2023,1026000.0,32.40,-450000.0,-43.50,0.67,2661000,13,-29.70,-36.20,1493000,-446000.0,6.40,2.50
30192269,2022,775000.0,100.80,-134000.0,-16.70,0.02,1082000,,-3.50,-49.80,13000,-132000.0,1.80,0.60
30192269,2021,386000.0,115.30,-299000.0,-69.60,0.01,589000,11,-56.80,-288.70,2000,-293000.0,1.20,0.50
30192269,2020,239000.0,,0.0,1.10,0.01,283000,,7.10,2.00,1000,3000.0,2.40,1.10
27621042,2023,438000.0,12.30,20000.0,5.00,0.32,307000,5,10.20,11.10,72000,22000.0,2.40,1.20
27621042,2022,390000.0,29.10,11000.0,2.60,0.21,296000,4,8.50,6.90,52000,10000.0,1.90,1.20
27621042,2021,302000.0,9.80,-49000.0,-17.20,0.18,246000,4,-9.60,-21.90,42000,-52000.0,1.10,0.90
27621042,2020,275000.0,53.60,0.0,1.20,0.31,291000,4,8.40,1.70,91000,4000.0,2.20,2.20
27621042,2019,179000.0,94.60,1000.0,1.10,0.35,262000,4,10.60,0.60,91000,2000.0,1.70,1.70
26919568,2023,,,-41000.0,,-1.05,169000,1,,-11.70,-177000,-39000.0,0.00,5.60
26919568,2022,,,-19000.0,,-0.79,171000,1,,-5.30,-135000,-16000.0,0.10,5.70
26919568,2021,,,-15000.0,,-0.81,144000,1,,-3.50,-116000,-13000.0,0.00,5.00
26919568,2020,,,-88000.0,,-1.90,144000,1,,-21.00,-274000,-85000.0,0.00,4.50
26919568,2019,,,-93000.0,,-0.86,217320,1,,-23.50,-186430,-89000.0,0.20,3.30
27036425,2023,1559000.0,-1.10,-1026000.0,-60.90,-0.83,3576000,8,-14.40,-17.40,3000,-949000.0,0.80,0.80
27036425,2022,1576000.0,8.50,-1375000.0,-78.70,-0.68,2833000,,-33.00,-32.50,136000,-1248000.0,0.80,0.80
27036425,2021,1452000.0,30.50,-924000.0,-49.40,-0.32,2433000,5,-19.60,-34.50,5000,-866000.0,0.60,0.60
27036425,2020,1113000.0,61.50,-742000.0,-49.00,0.09,1986000,,-17.90,-35.70,221000,-688000.0,13.70,13.70
27036425,2019,689000.0,83.70,-506000.0,-71.40,-0.07,1864000,5,-25.00,-28.30,13000,-492000.0,1.10,1.10
27115211,2024,380000.0,4.70,13000.0,3.70,0.79,118000,1,3.90,15.30,92000,14000.0,4.50,4.40
27115211,2023,363000.0,-19.90,-8000.0,-1.90,0.84,94000,1,-1.60,-9.00,79000,-7000.0,5.90,6.00
27115211,2022,453000.0,1.80,1000.0,0.40,0.74,116000,,0.90,2.10,86000,2000.0,3.70,3.70
27115211,2021,445000.0,61.20,32000.0,9.00,0.71,120000,,9.40,51.90,85000,40000.0,3.20,3.20
27115211,2020,276000.0,112.30,39000.0,17.00,0.71,75000,2,18.10,117.50,53000,47000.0,2.90,3.00
29386576,2023,,,-4000.0,,-31.00,1000,0,,-14.30,-7000,-4000.0,0.10,0.10
29386576,2022,5000.0,-54.50,-6000.0,-100.00,-6.75,4000,1,-66.70,-22.60,-3000,-6000.0,0.30,0.30
29386576,2021,11000.0,,-1000.0,-7.70,-3.00,7000,1,7.70,-4.10,3000,-1000.0,0.80,0.80
29386576,2020,,,-6000.0,,-2.86,7000,2,,-27.30,1000,-6000.0,0.10,0.20
29386576,2019,5000.0,,-17000.0,-320.00,-1.75,8000,2,-280.00,-63.80,0,-16000.0,0.00,0.00
29105543,2023,2107000.0,105.40,-994000.0,-42.60,0.77,1615000,47,-42.60,-55.70,1234000,-951000.0,2.90,2.90
