name,url,description,started_at,category,city,website,socials,business_id,finder_url
Aapo,https://startup100.net/company/aapo,"Simple & powerful project workspace for collaborating, communicating and working in the cloud. Keep people in the loop and up to date on work that matters. Get started for free now at:

www.joiqu.com",2023,SaaS/Business Software,Oulu,http://www.aapo.ws/,"{'twitter': 'https://www.twitter.com/joiqucom/', 'facebook': 'https://www.facebook.com/joiqucom', 'linkedin': 'https://www.linkedin.com/company/aapo-social-workspace', 'slideshare': 'https://www.slideshare.net/AAPOSocialWorkspace'}",,
Aatos,https://startup100.net/company/aatos,Aatos is reshaping the legal industry with fully automated and disruptive legal web application for consumers. By digitalising legal services we bring these services easily accessible to everyone at a reasonable price. Our vision is to completely revolutionise the legal industry and build a legal platform where an individual can solve all their legal problems easily online.,2018,Other Consumer Software & Apps,Helsinki,https://aatos.app,"{'twitter': 'https://www.twitter.com/aatosapp/', 'facebook': 'https://www.facebook.com/aatosapp', 'linkedin': 'https://www.linkedin.com/company/28802456'}",2901500-3,https://www.finder.fi/search?what=2901500-3&type=company
Aavagen,https://startup100.net/company/aavagen,"We are Aavagen. Together with breeders, we create groundbreaking genetic tests that benefit day to day training and breeding. Everything we do is based on our passion for horses and science. Horse genetics is an almost untouched branch of science, and we are immersing ourselves completely in studying the horse. We believe that the future racehorse will be healthier, faster and have better endurance than ever before. Be part of developing something historical and join us on this exciting journey!",2017,Health & Medical Technology,Kaarina,http://www.aavagen.com/,{'facebook': 'https://www.facebook.com/aavagen'},2812156-8,https://www.finder.fi/search?what=2812156-8&type=company
Aava Mobile,https://startup100.net/company/aava-mobile,"We are a team of professionals that started our own platform and product development in early 2000 for all Tier 1 Mobile Phone OEM’s. We quickly became the biggest ODM in Europe for mobile devices, located in Oulu, Finland.

In 2009 we founded Aava Mobile with a focus on open OS smartphones and handhelds. Our Company name, Aava Mobile (Aava is Finnish for “open”), represents this product philosophy. In recent years, we have brought our smartphone skills to the purpose-build tablet and handheld market.

Today we offer tablets and handhelds for semi-professional and professional markets. Our offering includes customer-specific tablet and handheld developments as well as Aava roadmap products for various vertical markets.

We work with our partners and customers to address their specific needs for vertical market devices.",2009,Hardware & Devices,Oulu,http://www.aavamobile.com,"{'twitter': 'https://www.twitter.com/aavamobileoy', 'facebook': 'https://www.facebook.com/AavaMobileOy', 'linkedin': 'http://www.linkedin.com/company/aava-mobile-oy'}",,
Aava Ohjelmistot,https://startup100.net/company/aava-ohjelmistot,"[About us in English below]

Aava Ohjelmistot Oy on erikoistunut hallinnoimaan kaikkea liiketoiminnan tuottamaa ja tarvitsemaa tietoa. 

Aava Platform on joustava ja helposti muokattava tiedonhallintajärjestelmä, joka tuo suurten tietojärjestelmien edut kaikkien yritysten ulottuville. 

Järjestelmämme vahvuuksia ovat:

KUSTANNUSTEHOKAS LOW-CODE-ALUSTA
Aavan teknologia on low-code-alusta, jolla voidaan kehittää erittäin monimutkaisia toiminnanohjausjärjestelmiä noin kymmenen kertaa nopeammin ja tehokkaammin kuin millään muulla markkinoilla olevalla järjestelmällä. Aavan kehittämä automaatioteknologia kykenee toteuttamaan nopeimmin ja tehokkaimmin myös kaikkein haastavimmat ratkaisut.

TINKIMÄTTÖMYYS
Aavan järjestelmä taipuu kaikkiin yrityksenne prosesseihin, teidän ei tarvitse tinkiä omista hyvistä käytännöistänne. 

KATTAVAT TOIMINNALLISUUDET
Aava Platformista löytyy kaikki modernin yritystietojärjestelmän ominaisuudet.

EDULLISET KOKO ELINKAAREN KUSTANNUKSET 
Aava Platformin käytettävyys on turvattu räätälöinnin eristävällä tekniikalla. Ei kalliita huoltoja ja päivityksiä.

MONIPUOLISET KÄYTTÄJÄROOLIT
Aava Platform määrittelee yksityiskohtaisesti eri tasojen käyttöoikeudet korkealla turvatasolla.

KÄYTETTÄVYYS
Suunnittelufilosofiamme on intuitiivisuus. Järjestelmä on looginen ja luonteva käyttää ja tarjoaa useita rinnakkaisia tapoja ja polkuja päämäärän saavuttamiseksi. 

* * * * * * * * * 

Aava Ohjelmistot is a fast growing and high aiming Finnish software company, which specialises in the management of important business data.

The most important product of Aava Ohjelmistot Oy is Aava Platform, which helps companies to achieve competitive edge by optimizing and automating their processes and routines. Aava Platform is a flexible and easily modifiable data system base without comparison, and it brings great data system advantages also within reach of smaller companies.",2008,SaaS/Business Software,Espoo,http://www.aavaohjelmistot.fi,"{'twitter': 'https://www.twitter.com/aavasoftware/', 'facebook': 'https://www.facebook.com/aava-ohjelmistot-oy-178650398428', 'linkedin': 'http://www.linkedin.com/company/aava-ohjelmistot-oy'}",,
Aavi Technologies,https://startup100.net/company/aavi-technologies,"AAVI Technologies is a growing high-tech company specialized to air purification devices and solutions. We have two main focus areas; Indoor Air Quality improvement & Emission Control solutions. Protecting people from harmful impurities and protecting environment from emission load are in the heart of our business.

Our patented AAVI® technology purifies even smallest nano-particles and gases, eliminates bacteria and viruses from the indoor air & purifies the harmful exhaust gases effectively before blowing into outdoor. 

We are located in Helsinki, Finland - both our HQ and R&D are located here as well as current manufacturing. Being a Finnish-Chinese company, our main market area is in China but we are expanding our market area continuously.",,,,http://aavi-tech.com,"{'facebook': 'https://www.facebook.com/aavitechnologies', 'linkedin': 'https://www.linkedin.com/company/4801723'}",,
Aavu,https://startup100.net/company/aavu,Aavu is a comprehensive software specifically designed for subscription-based businesses to enhance customer loyalty and to maximize recurring revenue.,2020,SaaS/Business Software,Turku,https://aavu.fi/,{},3164108-9,https://www.finder.fi/search?what=3164108-9&type=company
Abacus Diagnostica,https://startup100.net/company/abacus-diagnostica,"Abacus Diagnostica is now part of Uniogen. 

Abacus Diagnostica Oy is a Finnish molecular diagnostic company, which has commercialized its proprietary GenomEra® platform. GenomEra CDX system has proven to be one of the fastest, easiest-to-use and the most cost-effective automated solution for molecular diagnostics (MDx) of infectious diseases. GenomEra is suitable also for small to mid-size customers without any prior experience in MDx. Abacus’ vision is to provide cost-effective and easy-to-use products to enable MDx also in resource and capability limited settings.",2004,Health & Medical Technology,Turku,http://www.abacusdiagnostica.com,"{'twitter': 'https://www.twitter.com/AbacusCDX/', 'linkedin': 'https://www.linkedin.com/company/abacus-diagnostica-ltd'}",,
Abomics,https://startup100.net/company/abomics,"Precision medicine is available for your patients today.

Pharmacogenetics is the science that combines genetics with pharmacology. Your genes dictate how you react to a certain medicine. This is individual for all of us, and this science can be used to personalize the medication for patients as individuals.

Pharmacogenetics is disrupting medication as the cost of genetic testing has dropped from thousands of euros to hundreds of euros. Scientific evidence shows that pharmacogenetics gives better clinical outcomes for the patient and better cost efficiency for society. Particularly in treatment of depression and geriatric polypharmacy. Evidence is strong also in the treatment of coronary heart disease, and stroke.

We at Abomics make pharmacogenetics an easy tool for doctors in their daily clinical work. Based on a simple blood test, we provide doctors with a patient specific report that shows whether a specific medicine is suitable for a patient or not and how the dosage should be adjusted.

Abomics PGx – Pharmacogenetic interpretation service for personalized precision medication.

Abomics GeneRx – Pharmacogenetic clinical decision support database.

Our core end customers are:
- Psychiatrists (depression)
- Geriatricians (polypharmacy)
- Cardiologists (coronary heart disease)
- Neurologists (stroke).

Our direct customers are:
- Clinical laboratories
- SW providers:
   o EHR / electronic prescribing systems
   o Medical Database and DSS providers",2013,Health & Medical Technology,Turku,https://www.abomics.fi/fi/,"{'twitter': 'https://www.twitter.com/abomics_fi/', 'facebook': 'https://www.facebook.com/abomics', 'linkedin': 'https://www.linkedin.com/company/4985296'}",,
About Her App,https://startup100.net/company/about-her-app,"Hunter Biden's daughter Naomi testified Friday in his federal gun trial about visiting her father while he was at a California rehab center, telling jurors that...",2022,Other Consumer Software & Apps,Tuusula,https://abouther.app/,"{'twitter': 'https://www.twitter.com/nbc6', 'facebook': 'https://www.facebook.com/NBC6SouthFlorida'}",3329738-1,https://www.finder.fi/search?what=3329738-1&type=company
