tag,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Dating,37000000,649999,0,0,118700000,0,35784998,44833998,81592997,52123498,30388785,51800820,101229980,91222828,1154886096,126826150,204733658,111808815,226411323,52733434,176997489,335197755,72148649,181720649,48955110,3831298
Education,1191010007,435699998,162250002,81255001,109927500,140050101,199613803,369998497,610997302,512343612,630124603,899957857,1288346352,1678610157,2874384471,5747404740,5327541736,4901232593,8519152533,7925718200,14698578137,21393186851,9377368168,3879836342,3213194428,769240670
Energy,907330091,241086168,301682420,348723999,532452001,890434801,1374491599,3436337298,6511998659,2893359266,4409839121,5573598970,5596629556,3949249379,6856790384,6871191393,8881341114,8382373495,13208554348,14617791161,17885466975,43745451424,47721439097,38039279260,28976014227,6850327157
Enterprise software,5407800504,2595782587,1352172570,1244885327,2097879885,2776455686,3137731108,4510838154,4844297308,3264118119,6939090964,10363993896,11456957536,14914188361,22439043106,28597314402,23651240507,29507963926,44728688126,49925600615,45897911594,111717451046,79957099982,56265608744,93631523180,17413465957
Event tech,606000001,161100000,97339999,66000000,67800000,71405099,157652002,191667499,97391701,247270503,94043601,352771725,292161271,419573233,749874261,1148592387,2240331167,1216539331,1241179233,2296746647,982279503,2748589717,1692607596,944215389,1265679624,237616090
Fashion,673699998,58756128,32000001,71999998,93599999,187602639,92078002,242746600,407392453,359743100,1111449687,2036789520,1865421664,2101804014,4111455910,5793857627,4375533252,3105605209,8141477785,6415597620,3301201466,12555831684,7424155192,4681271109,2169503745,809496338
Fintech,4167872080,1010045001,701781936,534250005,1262143340,1460619833,1445376145,2083762994,1964405576,1579875348,2899791932,3358382756,4265396844,5879460001,11298252234,22213968621,26770902528,26451152291,54302760230,44158922425,44401608544,132895624826,87447115938,41991826495,35620414038,8909905177
Food,638434999,509999,148070000,92200000,101039999,114995162,223517345,382470950,656383417,354690755,661437220,1528230528,1568951230,1815897919,5369444917,15864936276,11518786946,15087958043,31505580500,24677461560,24095248841,55025781574,30132481995,14065510879,13741477792,2653212862
Gaming,237949801,101514661,81226600,130460000,202121898,256821143,740730500,1215927391,918082102,444221713,1027039378,1556762972,1154833694,1011056162,2275890481,2444415117,4290237200,4366431537,8282435779,3773380612,6971626797,16066148880,10998206290,3276299504,5029919039,3501847176
Health,2443756016,2382566665,2058235006,2846605279,4061962565,4518382057,5140750224,9168844143,6759664620,8016234482,9947098755,11234585674,10627089644,12752570893,17999360897,26228143768,25155979880,33798142614,50863132090,50396483347,75341532594,124698093195,87148907087,61847950776,67993530491,17371606987
Home living,638236001,234223001,113000000,159197702,182300000,292899999,293813998,327711000,396168599,385087061,672101301,3116027048,2540280952,2898463907,6630650189,9146933733,4305759716,8704266588,8165697108,7045807627,5145294523,17531283100,6786931097,3050428539,2696737309,292480332
Hosting,1743099996,903149998,448500000,189200001,171999999,397954001,512587999,560247702,670822825,390584663,664769069,555279467,1338184259,1610576402,940048898,2036181798,2075537183,1419671649,3495897597,2856341048,6167809004,3756368198,3822939359,3933494418,9220758487,1163004320
Jobs recruitment,568929918,122300000,121150000,132400000,114530002,141990000,155779999,285902997,590053002,105468499,251756697,313040307,442060627,715540903,1451869358,2341464789,2314641519,1847091955,5481999810,4980821736,4287247222,12347528625,8435290788,2816941442,2501346855,1072637517
Kids,140299999,0,15350000,15499999,48599999,39740000,38079999,143440000,73691998,33265801,319617001,191447055,209526917,253315185,635908616,993997376,706166426,743960116,1346626862,1246848726,1469528490,2765703182,1502241722,703828730,865674426,57546440
Legal,359999998,144450000,131499999,87149999,153649200,267450001,199686999,259548997,198765997,220635867,256552606,210915602,300660891,550510375,651085524,1085313366,684114398,1480385427,2286736639,3286893503,2375316364,5618138617,4303129699,2388036218,3956324446,1400569110
Marketing,4497030004,1440899303,476971999,517590002,1018358498,962899003,1671966300,2750767639,2791769988,2011376140,3407745628,6264606036,4839804358,6706056743,10332645249,13314089077,12789934604,15368980729,16325511637,15027706752,15469777457,46965302208,27771846660,10248424786,10705495929,1810308220
Media,5738700000,1644200000,945120007,706104000,1511639996,1218499804,2330450519,3747436064,3570593114,2554919519,3084369585,6298906275,4888657013,5786200799,9971459006,13042011473,14531903580,18458416042,22119490531,14038263597,10400179554,23286203580,17602085047,8016304590,8089448390,5398469316
Music,366947084,48499999,72200000,18975001,135550001,171734071,347278999,255735177,295983000,257776033,199035422,521628921,1003781774,1139462139,950142562,1526527541,2050337422,1481995416,2129582471,1184176976,734888663,2826796176,1133086806,1287728678,1524988301,74857000
Real estate,1395900003,325300001,306099999,42123920,76800001,330625988,255759969,447133003,519699590,338543048,598657836,649814899,807085529,1477073224,3244346718,5028062188,6201355517,12421501970,18009512071,17679949925,10656512495,22810077816,16997611070,7979278984,6912648849,1428505601
Robotics,112499999,111299999,12769984,27091666,23673333,105226665,109095196,355474999,103954667,118201859,129204168,149626027,263864982,795276854,785239602,1993994568,2217196591,4625389594,9583920250,7069260587,11556850114,19562634553,13199085799,7360767264,18699979558,2948824557
Security,1674949999,1730770003,1079580000,1054193005,1209981666,1539829201,1159265901,1827603000,1219809429,1128834419,1448673076,2537936192,2339842420,3163325381,6536350415,7178426339,8217363939,7336697263,12179534618,13405117705,14338184393,34950272370,25417087468,12294420549,18299054961,5227979607
Semiconductors,1904119999,3679969999,1300092337,2373060001,1521310001,1532965182,1903082630,2313566695,1541514669,1163572664,1446940016,1524558940,1341088493,1189514401,2109297098,1764087848,1329181084,2571259101,4355614821,4408405835,6750363936,15251092821,16289432539,18038785716,15476826208,2260648370
Sports,178684999,26100000,15970000,4300000,75800000,43600001,44989516,52569999,100795000,76723093,89249289,556674646,467409208,607639641,910134355,1630369858,1325505404,2718496712,3737461428,3186964317,3920756266,7000691002,7243668853,2551911268,2026652790,427028746
Telecom,8138619806,3930569459,2281065999,1466410007,1610931669,2378125002,2861427203,3157328418,2045798801,1566879754,2206507856,4056601107,3230688409,3490014574,6541202959,10271289932,10925489122,10754154066,8975104271,6626298034,5768784005,14177938968,5983625098,2824648138,3617103241,882764961
Transportation,1381100001,438142801,564572417,307348999,546484001,716398003,731226497,1208744299,1182089771,1051159972,1510073794,2140052622,1425503696,2351035095,6881331674,25826812821,23705810905,39661672171,49288943481,46400506449,42428716924,85653217609,57153262106,32129519901,30033349919,4823617148
Travel,428296998,32974999,39999999,35100000,110620000,179324998,233482002,659587000,684053365,200124502,348506108,1115665160,803810627,1196137833,2837742971,6949330087,4099990976,4685088292,6723304921,9841826760,6272794283,9265835620,5241173686,3233815860,4303168854,1721991183
Wellness beauty,66499998,62999999,24540001,6899999,32560000,45629999,73892000,254879997,160161513,178319089,492339500,485418803,483740412,1372226047,2442172079,3348382229,1740573536,1683066964,4303250338,4034986358,4974702716,10505719108,5132621918,2899690123,2627322164,521771476
